Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2023-02-23,-0.019881827,0.041338335,0.0391356922,21,100
Market-Adjusted Model,10028,2023-02-23,0.164179163,0.2162171793,0.2231966823,21,100
Market-Adjusted Model,10032,2023-02-23,-0.025242955,0.0355833488,0.0337745646,21,100
Market-Adjusted Model,10044,2023-02-23,0.001944915,0.0625829285,0.0609624343,21,100
Market-Adjusted Model,10065,2023-02-23,-0.044241075,0.0152516693,0.014776444,21,100
Market-Adjusted Model,10066,2023-02-23,-0.015948477,0.0483062972,0.0430690424,21,100
Market-Adjusted Model,10104,2023-02-23,-0.009915607,0.0515101197,0.0491019121,21,100
Market-Adjusted Model,10107,2023-02-23,-0.054578089,0.0057774259,0.0044394306,21,100
Market-Adjusted Model,10113,2023-02-23,-0.022606299,0.0382812294,0.0364112203,21,100
Market-Adjusted Model,10138,2023-02-23,-0.101025617,-0.042698752,-0.042008098,21,100
Market-Adjusted Model,10145,2023-02-23,-0.056316244,0.0030379853,0.0027012754,21,100
Market-Adjusted Model,10158,2023-02-23,-0.215129622,-0.155339429,-0.156112102,21,100
Market-Adjusted Model,10200,2023-02-23,-0.104462206,-0.037354771,-0.045444687,21,100
Market-Adjusted Model,10207,2023-02-23,-0.043428585,0.0165926033,0.0155889341,21,100
Market-Adjusted Model,10220,2023-02-23,0.0480594602,0.1082825516,0.1070769796,21,100
Market-Adjusted Model,10252,2023-02-23,-0.135525338,-0.083207569,-0.076507819,21,100
Market-Adjusted Model,10253,2023-02-23,-0.105166016,-0.039940883,-0.046148497,21,100
Market-Adjusted Model,10257,2023-02-23,-0.046212101,0.0222316883,0.0128054182,21,100
Market-Adjusted Model,10258,2023-02-23,-0.037037055,0.0344294322,0.0219804647,21,100
Market-Adjusted Model,10294,2023-02-23,-0.097233783,-0.035878475,-0.038216264,21,100
Market-Adjusted Model,10308,2023-02-23,-0.116376031,-0.061477101,-0.057358512,21,100
Market-Adjusted Model,10318,2023-02-23,-0.10425171,-0.046597723,-0.04523419,21,100
Market-Adjusted Model,10333,2023-02-23,0.0616045353,0.1258690453,0.1206220546,21,100
Market-Adjusted Model,10355,2023-02-23,-0.095737743,-0.034147403,-0.036720223,21,100
Market-Adjusted Model,10382,2023-02-23,-0.012817661,0.0535413159,0.0461998586,21,100
Market-Adjusted Model,10397,2023-02-23,-0.052513775,0.006985076,0.0065037442,21,100
Market-Adjusted Model,10421,2023-02-23,0.0852546962,0.1514495878,0.1442722155,21,100
Market-Adjusted Model,10443,2023-02-23,-0.016323039,0.0477954463,0.0426944807,21,100
Market-Adjusted Model,10463,2023-02-23,-0.146341442,-0.093283378,-0.087323923,21,100
Market-Adjusted Model,10501,2023-02-23,-0.077306305,-0.006304125,-0.018288786,21,100
Market-Adjusted Model,10514,2023-02-23,-0.156785265,-0.089278534,-0.097767746,21,100
Market-Adjusted Model,10516,2023-02-23,-0.051293416,0.0083232422,0.0077241032,21,100
Market-Adjusted Model,10517,2023-02-23,0.078464159,0.1450074559,0.1374816783,21,100
Market-Adjusted Model,10547,2023-02-23,-0.143232017,-0.087888962,-0.084214498,21,100
Market-Adjusted Model,10550,2023-02-23,0.0125073908,0.0786349796,0.0715249101,21,100
Market-Adjusted Model,10606,2023-02-23,0.0042780003,0.0666756032,0.0632955196,21,100
Market-Adjusted Model,10629,2023-02-23,-0.11192253,-0.056468395,-0.052905011,21,100
Market-Adjusted Model,10645,2023-02-23,0.0490932884,0.1109093726,0.1081108077,21,100
Market-Adjusted Model,10649,2023-02-23,0.0182432087,0.0815203398,0.077260728,21,100
Market-Adjusted Model,10661,2023-02-23,-0.176470601,-0.119302088,-0.117453081,21,100
Market-Adjusted Model,10693,2023-02-23,-0.081875316,-0.022662844,-0.022857796,21,100
Market-Adjusted Model,10696,2023-02-23,0.0011277328,0.0622058262,0.0601452521,21,100
Market-Adjusted Model,10777,2023-02-23,-0.187059794,-0.143026449,-0.128042275,21,100
Market-Adjusted Model,10779,2023-02-23,-0.18897639,-0.139818183,-0.129958871,21,100
Market-Adjusted Model,10781,2023-02-23,-0.023708284,0.0373171796,0.0353092355,21,100
Market-Adjusted Model,10812,2023-02-23,-0.011459625,0.0499568841,0.0475578948,21,100
Market-Adjusted Model,10860,2023-02-23,0.1278862781,0.1955390254,0.1869037974,21,100
Market-Adjusted Model,10866,2023-02-23,-0.006669283,0.0610007412,0.0523482365,21,100
Market-Adjusted Model,10874,2023-02-23,-0.035427152,0.0252607168,0.0235903669,21,100
Market-Adjusted Model,10886,2023-02-23,-0.235294135,-0.191360429,-0.176276615,21,100
Market-Adjusted Model,10890,2023-02-23,-0.244827587,-0.191775438,-0.185810068,21,100
Market-Adjusted Model,10892,2023-02-23,-0.125391945,-0.070506593,-0.066374426,21,100
Market-Adjusted Model,10901,2023-02-23,-0.10210396,-0.04274987,-0.043086441,21,100
Market-Adjusted Model,10932,2023-02-23,-0.186882323,-0.142171101,-0.127864803,21,100
Market-Adjusted Model,10933,2023-02-23,-0.082081622,-0.024810031,-0.023064102,21,100
Market-Adjusted Model,10966,2023-02-23,-0.150862035,-0.09373475,-0.091844516,21,100
Market-Adjusted Model,11006,2023-02-23,-0.08252697,-0.024904803,-0.023509451,21,100
Market-Adjusted Model,11018,2023-02-23,-0.094519103,-0.036897867,-0.035501584,21,100
Market-Adjusted Model,11043,2023-02-23,0.1127598605,0.1710110209,0.1717773798,21,100
